base_id,place,latitude,longitude,poi_Transportation Facilities,poi_Leisure & Entertainment,poi_Companies & Enterprises,poi_Healthcare,poi_Commercial & Residential,poi_Tourist Attractions,poi_Automotive,poi_Life Services,poi_Science & Education & Culture,poi_Shopping & Consumer Goods,poi_Sports & Fitness,poi_Hotels & Accommodations,poi_Financial Institutions,poi_Dining & Cuisine
28330,昌北机场T2航站楼LampsiteB,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28331,昌北机场T2航站楼LampsiteB,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28332,昌北机场T2航站楼LampsiteB,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28333,昌北机场T2航站楼LampsiteB(昌北机场T2航站楼),28.861338,115.910918,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28334,昌北机场T2航站楼LampsiteB(昌北机场T2航站楼),28.861338,115.910918,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28335,昌北机场T2航站楼LampsiteB,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28336,昌北机场T2航站楼LampsiteB,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28337,昌北机场T2航站楼LampsiteB,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28338,昌北机场T2航站楼LampsiteB(昌北机场T2航站楼),28.861338,115.910918,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28339,昌北机场T2航站楼LampsiteB(昌北机场T2航站楼),28.861338,115.910918,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28340,昌北机场T2航站楼LampsiteB(昌北机场T2航站楼),28.862491,115.911128,13,0,1,1,0,0,1,5,0,13,0,0,2,8
28341,昌北机场T2航站楼LampsiteB(昌北机场T2航站楼),28.861338,115.910918,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28342,昌北机场T2航站楼LampsiteB(昌北机场T2航站楼),28.861338,115.910918,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28343,昌北机场T2航站楼LampsiteC,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28344,昌北机场T2航站楼LampsiteC,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28345,昌北机场T2航站楼LampsiteC,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28346,昌北机场T2航站楼LampsiteC(昌北机场T2航站楼),28.861333,115.910912,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28347,昌北机场T2航站楼LampsiteC,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28348,昌北机场T2航站楼LampsiteC,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28349,昌北机场T2航站楼LampsiteC,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28350,昌北机场T2航站楼LampsiteC(昌北机场T2航站楼),28.861333,115.910912,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28351,昌北机场T2航站楼LampsiteC,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28352,昌北机场T2航站楼LampsiteC(昌北机场T2航站楼),28.861333,115.910912,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28353,昌北机场T2航站楼LampsiteC(昌北机场T2航站楼),28.861333,115.910912,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28354,昌北机场T2航站楼LampsiteC(昌北机场T2航站楼),28.861333,115.910912,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28355,昌北机场T2航站楼LampsiteD,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28356,昌北机场T2航站楼LampsiteD,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
28357,昌北机场T2航站楼LampsiteD,28.862329,115.912033,13,0,1,1,0,0,3,5,0,12,0,0,2,8
