region_id,lon_center,lat_center,Transportation Facilities,Leisure & Entertainment,Companies & Enterprises,Healthcare,Commercial & Residential,Tourist Attractions,Automotive,Life Services,Science & Education & Culture,Shopping & Consumer Goods,Sports & Fitness,Hotels & Accommodations,Financial Institutions,Dining & Cuisine
153,116.285,39.915,0.132,0.15,0.043,0.046,0.135,0.02,0.028,0.067,0.042,0.039,0.081,0.139,0.03,0.049
154,116.295,39.915,0.061,0.075,0.018,0.121,0.052,0.009,0.08,0.103,0.072,0.095,0.129,0.039,0.044,0.103
155,116.305,39.915,0.052,0.057,0.041,0.082,0.071,0.402,0.038,0.045,0.041,0.058,0.024,0.045,0.018,0.025
156,116.315,39.915,0.048,0.101,0.016,0.009,0.035,0.625,0.017,0.019,0.033,0.003,0.079,0.015,0.0,0.0
157,116.325,39.915,0.1,0.038,0.043,0.0,0.116,0.21,0.05,0.033,0.05,0.017,0.0,0.249,0.072,0.023
158,116.335,39.915,0.09,0.055,0.053,0.09,0.099,0.0,0.042,0.055,0.068,0.045,0.094,0.079,0.166,0.063
159,116.345,39.915,0.072,0.031,0.041,0.123,0.108,0.078,0.005,0.089,0.046,0.025,0.039,0.18,0.11,0.053
160,116.355,39.915,0.089,0.017,0.053,0.043,0.078,0.023,0.07,0.049,0.019,0.052,0.04,0.02,0.399,0.047
161,116.365,39.915,0.069,0.034,0.029,0.07,0.062,0.025,0.04,0.076,0.023,0.228,0.064,0.06,0.111,0.109
162,116.375,39.915,0.094,0.032,0.044,0.046,0.135,0.147,0.021,0.082,0.053,0.032,0.04,0.133,0.09,0.051
163,116.385,39.915,0.007,0.014,0.0,0.0,0.0,0.929,0.0,0.015,0.021,0.006,0.0,0.0,0.0,0.007
164,116.395,39.915,0.011,0.011,0.006,0.032,0.024,0.765,0.0,0.026,0.031,0.017,0.007,0.049,0.008,0.014
165,116.405,39.915,0.042,0.087,0.035,0.066,0.056,0.025,0.039,0.072,0.046,0.191,0.047,0.133,0.057,0.104
166,116.415,39.915,0.053,0.077,0.039,0.137,0.065,0.066,0.058,0.092,0.057,0.062,0.031,0.138,0.057,0.068
167,116.425,39.915,0.064,0.039,0.108,0.08,0.084,0.046,0.044,0.088,0.061,0.057,0.056,0.07,0.131,0.071
168,116.435,39.915,0.073,0.11,0.07,0.096,0.064,0.053,0.042,0.073,0.034,0.099,0.091,0.059,0.038,0.097
169,116.445,39.915,0.031,0.155,0.08,0.08,0.047,0.01,0.04,0.096,0.073,0.076,0.096,0.026,0.089,0.102
170,116.455,39.915,0.045,0.101,0.11,0.055,0.055,0.006,0.046,0.055,0.03,0.07,0.059,0.045,0.25,0.072
171,116.465,39.915,0.06,0.057,0.116,0.059,0.102,0.013,0.061,0.079,0.093,0.041,0.072,0.051,0.134,0.063
172,116.475,39.915,0.047,0.077,0.097,0.108,0.082,0.006,0.037,0.102,0.043,0.078,0.061,0.095,0.056,0.111
173,116.485,39.915,0.041,0.061,0.208,0.055,0.052,0.028,0.067,0.07,0.069,0.045,0.074,0.027,0.115,0.088
174,116.495,39.915,0.053,0.049,0.094,0.044,0.068,0.007,0.037,0.12,0.086,0.078,0.102,0.058,0.046,0.158
175,116.255,39.925,0.075,0.074,0.046,0.168,0.092,0.045,0.114,0.088,0.032,0.055,0.085,0.022,0.064,0.041
176,116.265,39.925,0.105,0.063,0.039,0.068,0.059,0.038,0.291,0.07,0.021,0.071,0.053,0.037,0.0,0.085
177,116.275,39.925,0.081,0.033,0.1,0.103,0.113,0.03,0.08,0.087,0.052,0.173,0.035,0.026,0.031,0.056
178,116.285,39.925,0.091,0.107,0.055,0.11,0.065,0.098,0.009,0.052,0.059,0.022,0.067,0.111,0.1,0.055
179,116.295,39.925,0.085,0.034,0.065,0.211,0.116,0.01,0.075,0.05,0.08,0.03,0.014,0.107,0.064,0.057
180,116.305,39.925,0.083,0.011,0.104,0.048,0.085,0.0,0.08,0.044,0.163,0.033,0.07,0.046,0.156,0.077
181,116.315,39.925,0.101,0.047,0.031,0.196,0.101,0.032,0.054,0.079,0.074,0.05,0.073,0.034,0.049,0.079
182,116.325,39.925,0.109,0.011,0.086,0.051,0.122,0.03,0.05,0.075,0.076,0.078,0.061,0.077,0.112,0.064
183,116.335,39.925,0.089,0.029,0.067,0.065,0.141,0.0,0.082,0.056,0.103,0.043,0.048,0.108,0.135,0.034
184,116.345,39.925,0.07,0.018,0.09,0.107,0.087,0.044,0.043,0.046,0.067,0.036,0.037,0.149,0.154,0.052
185,116.355,39.925,0.082,0.016,0.063,0.063,0.099,0.087,0.063,0.084,0.053,0.057,0.055,0.066,0.146,0.068
186,116.365,39.925,0.042,0.032,0.048,0.059,0.076,0.216,0.026,0.078,0.057,0.09,0.025,0.149,0.022,0.079
187,116.375,39.925,0.094,0.013,0.035,0.159,0.091,0.246,0.053,0.045,0.073,0.039,0.008,0.072,0.025,0.046
188,116.385,39.925,0.025,0.029,0.0,0.0,0.018,0.824,0.026,0.022,0.014,0.012,0.012,0.006,0.0,0.011
189,116.395,39.925,0.03,0.038,0.018,0.025,0.05,0.583,0.015,0.064,0.059,0.017,0.005,0.068,0.007,0.019
190,116.405,39.925,0.083,0.133,0.051,0.068,0.107,0.096,0.006,0.093,0.098,0.045,0.042,0.101,0.013,0.063
191,116.415,39.925,0.058,0.089,0.049,0.049,0.073,0.094,0.027,0.092,0.058,0.07,0.026,0.17,0.074,0.071
192,116.425,39.925,0.099,0.033,0.066,0.143,0.081,0.048,0.013,0.068,0.033,0.051,0.078,0.058,0.178,0.053
193,116.435,39.925,0.078,0.132,0.087,0.056,0.07,0.067,0.023,0.06,0.043,0.046,0.085,0.049,0.107,0.098
194,116.445,39.925,0.08,0.093,0.075,0.162,0.055,0.005,0.065,0.053,0.037,0.046,0.058,0.104,0.097,0.071
195,116.455,39.925,0.075,0.074,0.114,0.049,0.079,0.072,0.032,0.052,0.064,0.032,0.059,0.105,0.129,0.064
196,116.465,39.925,0.121,0.027,0.056,0.124,0.077,0.017,0.066,0.095,0.063,0.063,0.063,0.07,0.064,0.093
197,116.475,39.925,0.086,0.064,0.037,0.134,0.085,0.0,0.03,0.115,0.067,0.064,0.057,0.081,0.06,0.12
198,116.485,39.925,0.063,0.1,0.036,0.06,0.039,0.29,0.066,0.05,0.055,0.042,0.105,0.04,0.008,0.048
199,116.495,39.925,0.07,0.124,0.053,0.091,0.064,0.013,0.045,0.115,0.047,0.054,0.091,0.082,0.039,0.112
200,116.255,39.935,0.057,0.22,0.11,0.039,0.154,0.0,0.145,0.094,0.054,0.028,0.069,0.0,0.0,0.029
201,116.265,39.935,0.106,0.0,0.087,0.079,0.089,0.018,0.237,0.068,0.072,0.036,0.038,0.059,0.047,0.065
202,116.275,39.935,0.102,0.029,0.157,0.088,0.131,0.0,0.085,0.072,0.078,0.045,0.063,0.034,0.054,0.063
203,116.285,39.935,0.139,0.0,0.079,0.077,0.087,0.036,0.091,0.098,0.055,0.043,0.074,0.058,0.12,0.043
